MSE,ICP rX,ICP rY,ICP rZ,GT rX,GT rY,GT rZ
0.00114377,-2.76302,-4.38266,-4.10573,-3.96329,-3.10171,-6.78613
0.00116175,-2.90193,-4.09523,-3.95678,-3.57764,-2.80697,-6.68177
0.00110493,-3.14866,-3.89386,-3.38743,-3.13036,-2.5354,-6.61562
0.00110063,-3.4992,-3.59449,-2.92943,-2.7027,-2.17472,-6.47997
0.00120942,-3.86297,-3.30951,-2.43316,-2.17569,-1.80121,-6.37373
0.0011608,-3.9824,-3.09346,-2.22067,-1.77149,-1.4338,-6.27442
0.00119884,-3.92976,-2.73421,-1.87567,-1.49063,-1.03155,-6.13908
0.00129321,-3.68555,-2.32658,-1.53767,-1.35039,-0.567604,-5.90628
0.00111965,-3.71533,-1.94521,-1.34257,-1.24038,-0.16725,-5.70464
0.0011775,-3.53366,-1.52891,-1.30876,-1.07149,0.268329,-5.58265
0.00112751,-3.32516,-1.1145,-0.786322,-1.08224,0.766429,-5.34174
0.00111435,-3.21052,-0.785761,-0.48814,-0.998982,1.19138,-5.15592
0.00119117,-3.30221,-0.35144,-0.399781,-0.798644,1.6505,-5.01782
0.0011797,-3.484,0.110977,-0.00337514,-0.402033,2.07334,-4.97716
0.00129063,-3.89336,0.553375,0.861754,0.242217,2.45769,-5.02269
0.00119318,-4.18628,0.873412,1.45217,0.782292,2.85882,-5.01288
0.0012159,-4.37708,1.25143,1.81816,1.257,3.26296,-4.90954
0.00113187,-4.29036,1.61852,2.41533,1.58511,3.69447,-4.70526
0.00115556,-4.10214,2.03623,3.00985,1.69853,4.10442,-4.33097
0.00121065,-3.87056,2.30977,3.24821,1.99076,4.48913,-3.9998
0.00126458,-3.46938,2.49341,3.92314,2.12465,4.87821,-3.57701
0.00131538,-3.44551,2.84978,4.00346,2.15921,5.23392,-3.03977
0.00119153,-3.29729,3.14646,4.61617,2.56368,5.52345,-2.67531
0.0011493,-2.89796,3.44892,5.0862,2.8305,5.82941,-2.16532
0.00122998,-2.55308,3.68914,5.53301,2.91053,6.13109,-1.48472
0.00122656,-2.07179,3.87571,6.06128,3.08274,6.36096,-0.784655
0.00123661,-1.28636,4.11403,6.45241,2.85393,6.60825,0.111621
0.00108774,-0.965956,4.14359,7.03401,2.80136,6.85641,1.02685
0.00111236,-0.825507,4.16091,7.37313,3.2125,6.91508,1.3882
0.00118661,-0.563699,4.21506,7.80775,3.39485,7.07044,1.86229
0.00116938,-0.157915,4.37383,8.1774,3.48176,7.20733,2.39779
0.00103607,0.317945,4.41728,8.74177,3.54827,7.36284,2.97418
0.00105789,0.760701,4.54709,9.14832,3.52224,7.54183,3.51211
0.000948324,1.10885,4.59335,9.52686,3.59477,7.69082,3.9663
