MSE,ICP rX,ICP rY,ICP rZ,GT rX,GT rY,GT rZ
0.000169493,5.72265,-9.68782,-20.0521,7.93589,6.88918,9.0038
0.000170799,6.32387,-10.0288,-21.3997,8.36974,7.1572,9.24639
0.000168278,6.79935,-10.1476,-22.1683,8.83844,7.36703,9.59052
0.000155909,6.79747,-10.5126,-22.8661,9.33742,7.44619,10.2626
0.000179847,7.08989,-10.6042,-23.1737,9.97756,7.40023,11.09
0.000183525,7.92881,-10.6965,-24.3169,10.5105,7.74612,10.918
0.000164897,8.45449,-11.1424,-25.8449,11.0928,7.93107,11.3162
0.000161874,8.71734,-11.4567,-26.6515,11.6823,8.06813,11.9219
0.000169339,9.13701,-11.5794,-27.8186,12.0675,8.47264,11.8073
0.000169304,9.93895,-11.6472,-28.9747,12.6685,8.73953,11.9357
0.000168619,10.5922,-11.6976,-30.1912,13.2405,9.02691,12.3775
0.00019079,11.0039,-11.9833,-31.2415,13.7669,9.11293,12.8836
0.000185411,11.6996,-12.1096,-32.5877,14.34,9.36809,13.0322
0.000177113,12.296,-12.11,-33.6179,14.8719,9.66461,13.3598
0.00017635,12.5802,-12.4684,-34.0842,15.3305,9.8771,13.7712
0.000190178,12.8264,-12.6071,-35.11,15.8302,9.90504,14.4249
0.000175959,13.229,-12.5738,-35.8271,16.3442,10.1858,14.7311
0.000170202,13.8115,-12.6997,-36.7548,16.8855,10.3736,15.1903
0.000185798,14.1677,-12.7127,-37.5659,17.4134,10.6099,15.6256
0.00017922,14.4585,-12.9688,-38.2846,17.9415,10.701,16.3259
0.000187159,14.8656,-13.2361,-38.9727,18.3638,10.8058,17.0158
0.000187728,15.4458,-13.3446,-39.8575,18.905,11.1498,17.384
0.000187929,15.7407,-13.4251,-40.6215,19.4698,11.3139,17.9733
0.000199713,15.9295,-13.6094,-41.3015,20.0035,11.4592,18.5893
0.000207598,16.4094,-13.5195,-42.0696,20.6165,11.8336,18.8836
0.000184674,16.9707,-13.4597,-43.0255,21.3383,12.3271,18.9979
0.000201273,17.3105,-13.5143,-43.7062,22.0015,12.403,19.4816
0.00018189,17.8512,-13.3422,-44.7164,22.659,12.7388,19.6151
0.000208139,18.2216,-13.2743,-45.7115,23.3742,12.8948,20.0101
0.000250884,18.3374,-13.0834,-46.4683,24.0892,12.9683,20.492
0.000199928,18.9468,-12.7868,-47.4552,24.6547,13.4945,20.2296
0.000198786,19.2289,-12.617,-48.196,25.4287,13.5173,20.6801
0.000221318,19.513,-12.6476,-48.8531,26.0433,13.6444,21.1164
0.000214577,20.093,-12.3369,-49.6057,26.7039,14.1169,21.1866
0.000207764,20.5124,-12.184,-50.3801,27.2407,14.2419,21.4758
0.000219756,20.7533,-12.2871,-50.548,27.7205,14.2969,21.9494
0.000201258,21.0777,-12.0991,-51.076,28.1773,14.5103,22.2721
0.000223756,21.7017,-11.8241,-51.7219,28.5089,14.9711,22.1509
0.000207219,21.7132,-11.8026,-51.732,28.8348,15.1112,22.5124
0.000252074,22.021,-12.1248,-52.4594,29.0101,15.2036,22.7799
0.000236851,22.4813,-12.1576,-53.0819,29.1378,15.4319,22.8274
0.0002297,22.7456,-12.0218,-52.7793,29.1605,15.6468,22.7592
0.000219035,22.809,-12.0076,-52.7311,29.1176,15.819,22.7011
0.00024071,23.1721,-11.9511,-53.312,28.9678,16.0117,22.5804
0.000243341,23.1372,-12.1414,-53.3255,28.8356,16.0566,22.4726
0.000218919,23.1773,-12.2019,-53.0861,28.6056,16.0667,22.384
0.000200849,23.108,-12.0424,-52.9571,28.3794,16.1186,22.0476
0.000225023,23.0711,-11.9926,-52.6811,28.0617,16.1255,21.7223
0.000243051,22.9595,-11.8465,-52.3259,27.6912,16.1686,21.3037
0.000235867,22.9212,-11.6204,-51.9975,27.3352,16.2302,20.8089
0.000244798,22.8773,-11.4486,-51.3393,26.9186,16.0465,20.4084
0.000207285,22.667,-11.0427,-50.2051,26.3383,16.31,19.6102
0.000249447,22.434,-10.7753,-49.5654,25.8456,16.166,19.1252
0.000227276,22.0755,-10.5714,-48.6624,25.3539,16.0437,18.5984
0.000237808,21.8809,-10.325,-47.6999,24.8204,15.9192,18.0168
0.000254741,21.5293,-10.1445,-46.2125,24.3173,15.255,18.3411
0.000235921,21.1615,-9.98273,-45.1599,23.751,15.4136,17.3154
0.0002462,20.9853,-10.0975,-45.2385,23.1693,15.1668,16.7696
0.000257032,20.584,-10.0136,-44.5892,22.6013,15.0021,16.1409
0.0002289,20.2398,-9.86591,-43.9011,22.0262,14.6892,15.6247
0.000232394,19.6566,-9.52826,-42.6267,21.3881,14.1792,15.3597
0.000199295,19.2286,-9.42433,-41.7923,20.6712,14.3403,14.1834
0.000204232,18.5838,-9.10049,-40.4983,20.0898,13.9707,13.8296
0.000215844,18.221,-8.80115,-39.5715,19.4166,13.6863,13.3494
0.00016818,17.7079,-8.80602,-38.7332,18.9134,13.3481,12.4415
