MSE,ICP rX,ICP rY,ICP rZ,GT rX,GT rY,GT rZ
0.000559856,4.68986,-5.85435,-12.4047,7.93589,6.88918,9.0038
0.00068215,5.17205,-5.99491,-13.0673,8.36974,7.1572,9.24639
0.000604252,5.56751,-6.06185,-13.5788,8.83844,7.36703,9.59052
0.000605492,5.47662,-6.25645,-13.9632,9.33742,7.44619,10.2626
0.000614699,5.68059,-6.34766,-14.6195,9.97756,7.40023,11.09
0.000710344,6.41484,-6.37709,-15.3935,10.5105,7.74612,10.918
0.000727457,6.82992,-6.51319,-16.1259,11.0928,7.93107,11.3162
0.000600577,6.9934,-6.65445,-16.6808,11.6823,8.06813,11.9219
0.000647067,7.4332,-6.73359,-17.2606,12.0675,8.47264,11.8073
0.00078734,8.14332,-6.78484,-17.985,12.6685,8.73953,11.9357
0.000772832,8.69636,-6.86626,-18.7364,13.2405,9.02691,12.3775
0.000829852,8.93274,-6.99801,-19.325,13.7669,9.11293,12.8836
0.000899175,9.62692,-7.11901,-20.2232,14.34,9.36809,13.0322
0.000707532,10.1715,-7.16302,-20.8472,14.8719,9.66461,13.3598
0.000715125,10.2874,-7.35307,-21.2777,15.3305,9.8771,13.7712
0.000803395,10.5688,-7.54476,-21.941,15.8302,9.90503,14.4249
0.000852006,10.9956,-7.70996,-22.6417,16.3442,10.1858,14.7311
0.00109721,11.445,-7.85,-23.2285,16.8855,10.3736,15.1903
0.00095097,11.8192,-7.94251,-23.7887,17.4134,10.6099,15.6256
0.000898124,12.0243,-8.1651,-24.2771,17.9415,10.701,16.3259
0.00087893,12.2655,-8.35277,-24.8727,18.3638,10.8058,17.0158
0.000893536,12.7216,-8.51458,-25.5466,18.905,11.1498,17.384
0.00105047,13.0704,-8.71059,-26.1406,19.4698,11.3139,17.9733
0.000981674,13.2415,-8.9535,-26.6054,20.0035,11.4592,18.5893
0.00115993,13.7879,-9.07894,-27.5027,20.6165,11.8336,18.8836
0.00111635,14.3751,-9.12756,-28.2775,21.3383,12.3271,18.9979
0.000965911,14.732,-9.16477,-28.8839,22.0015,12.403,19.4816
0.00115705,15.3738,-9.08509,-29.6871,22.659,12.7388,19.6151
0.00118678,15.8518,-9.14021,-30.522,23.3742,12.8948,20.0101
0.00130184,16.2341,-9.04938,-31.0833,24.0892,12.9683,20.492
0.00135077,16.9454,-9.02292,-32.108,24.6547,13.4945,20.2296
0.00124141,17.3652,-9.03651,-32.7266,25.4287,13.5173,20.6801
0.00113126,17.78,-9.10702,-33.5398,26.0433,13.6444,21.1164
0.00137228,18.4793,-9.00591,-34.1523,26.7039,14.1169,21.1866
0.00120807,18.9741,-8.94575,-34.7254,27.2407,14.2419,21.4758
0.00137579,19.1437,-9.09906,-35.0945,27.7205,14.2969,21.9494
0.00161036,19.6816,-9.18473,-35.687,28.1773,14.5103,22.2721
0.00152875,20.5076,-9.16706,-36.3602,28.5089,14.9711,22.1509
