MSE,ICP rX,ICP rY,ICP rZ,GT rX,GT rY,GT rZ
0.00344272,4.88161,-10.5496,-16.4853,7.93589,6.88918,9.0038
0.00360804,5.44901,-10.9497,-17.8114,8.36974,7.1572,9.24639
0.0039679,5.87805,-10.9586,-18.1854,8.83844,7.36703,9.59052
0.00373312,5.90466,-11.3263,-18.5194,9.33742,7.44619,10.2626
0.00360266,6.25469,-11.4849,-18.9572,9.97756,7.40023,11.09
0.00352299,7.12617,-11.7324,-20.1482,10.5105,7.74612,10.918
0.00381356,7.54748,-11.9293,-21.452,11.0928,7.93107,11.3162
0.00326363,7.79584,-12.1801,-22.262,11.6823,8.06813,11.9219
0.00347841,8.38284,-12.3629,-22.8987,12.0675,8.47264,11.8073
0.00356673,9.27664,-12.5166,-23.8891,12.6685,8.73953,11.9357
0.00384907,9.84173,-12.5016,-24.7596,13.2405,9.02691,12.3775
0.00395587,10.131,-12.6943,-25.6557,13.7669,9.11293,12.8836
0.00382232,10.8792,-12.8927,-27.1712,14.34,9.36809,13.0322
0.00360972,11.4103,-12.8221,-28.0002,14.8719,9.66461,13.3598
0.00383658,11.6284,-13.033,-28.3113,15.3305,9.8771,13.7712
0.00355552,11.9252,-13.2628,-29.374,15.8302,9.90504,14.4249
0.00350335,12.484,-13.5282,-30.3512,16.3442,10.1858,14.7311
0.00398439,12.9893,-13.5464,-30.8505,16.8855,10.3736,15.1903
0.00421183,13.2785,-13.6578,-32.2759,17.4134,10.6099,15.6256
0.0039444,13.4064,-13.7785,-33.0313,17.9415,10.701,16.3259
0.00368412,13.6679,-13.8805,-33.5184,18.3638,10.8058,17.0158
0.00391311,14.1399,-13.9164,-34.3889,18.905,11.1498,17.384
0.00386868,14.5818,-14.0988,-35.0375,19.4698,11.3139,17.9733
0.003945,14.8179,-14.3783,-35.7869,20.0035,11.4592,18.5893
0.00369986,15.386,-14.4479,-36.7634,20.6165,11.8336,18.8836
0.00427001,15.9169,-14.4421,-37.8499,21.3383,12.3271,18.9979
0.00400678,16.2653,-14.4778,-38.724,22.0015,12.403,19.4816
0.00370133,17.0651,-14.374,-39.9345,22.659,12.7388,19.6151
0.00391954,17.51,-14.2922,-40.7962,23.3742,12.8948,20.0101
0.00408274,17.764,-14.1811,-41.5043,24.0892,12.9683,20.492
0.00409273,18.3441,-13.9724,-42.6716,24.6547,13.4945,20.2296
0.00395878,18.6005,-13.8271,-43.1172,25.4287,13.5173,20.6801
0.00418128,18.9864,-13.8012,-43.7309,26.0433,13.6444,21.1164
0.00420698,19.6218,-13.5921,-44.401,26.7039,14.1169,21.1866
0.00401724,20.0987,-13.5065,-45.233,27.2407,14.2419,21.4758
0.0038931,20.3479,-13.6677,-45.9145,27.7205,14.2969,21.9494
0.00404209,20.6307,-13.5996,-46.4083,28.1773,14.5103,22.2721
0.00437619,21.4814,-13.3741,-47.1032,28.5089,14.9711,22.1509
0.00442284,21.6838,-13.3817,-47.1884,28.8348,15.1112,22.5124
0.00487764,21.958,-13.6082,-47.5227,29.0101,15.2036,22.7799
0.00448774,22.3993,-13.5507,-47.9523,29.1378,15.4319,22.8274
0.00432404,22.7111,-13.4944,-48.0314,29.1605,15.6468,22.7592
0.00463562,22.8787,-13.3991,-47.6848,29.1176,15.819,22.7011
0.00450912,23.3613,-13.3521,-48.0996,28.9678,16.0117,22.5804
0.00530628,23.8356,-13.5642,-48.4107,28.8356,16.0566,22.4726
0.00462907,23.8938,-13.5992,-48.2387,28.6056,16.0667,22.384
0.00431204,24.03,-13.4452,-47.9713,28.3794,16.1186,22.0476
0.00420166,24.246,-13.4985,-47.69,28.0617,16.1255,21.7223
0.00467473,24.0455,-13.2014,-46.7913,27.6912,16.1686,21.3037
0.00455204,23.9412,-12.9594,-46.4896,27.3352,16.2302,20.8089
0.00521695,23.8292,-12.7966,-46.1843,26.9186,16.0465,20.4084
0.00473564,23.7109,-12.5309,-45.5117,26.3383,16.31,19.6102
0.00489132,23.5033,-12.2894,-44.8281,25.8456,16.166,19.1252
0.00437688,23.4091,-12.2684,-44.5098,25.3539,16.0437,18.5984
0.00459093,23.0876,-11.852,-43.6852,24.8204,15.9192,18.0168
0.00470667,22.7494,-11.7998,-42.9569,24.3173,15.255,18.3411
0.00533016,22.4462,-11.7213,-42.459,23.751,15.4136,17.3154
0.00463883,22.1982,-11.6643,-41.9754,23.1693,15.1668,16.7696
